Age,CCI0,SxFict_FCCI0,EV_CCI0,CCI1,SxFict_FCCI1,EV_CCI1,CCI2,SxFict_FCCI2,EV_CCI2,CCI3,SxFict_FCCI3,EV_CCI3
18,0.000391386,1.00E+05,73.02002316,0.001611763,1.00E+05,58.58607648,0.038333551,1.00E+05,21.7806344,0.09395704,1.00E+05,7.638780317
19,0.000409066,99960.86141,72.04841758,0.001676543,99838.82368,57.67984862,0.038571527,96166.64487,21.62891427,0.097983728,90604.29601,7.379074869
20,0.000427462,99919.9708,71.0776976,0.001744145,99671.43958,56.7758741,0.038810531,92457.35053,21.4765847,0.10218445,81726.54932,7.126331234
21,0.000446428,99877.25883,70.10787977,0.001814892,99497.59818,55.87419885,0.039046448,88869.03164,21.32356901,0.106565419,73375.36683,6.880503973
22,0.000465786,99832.67084,69.13896855,0.001889146,99317.0208,54.97487975,0.039274971,85399.01164,21.16969356,0.111132941,65556.09008,6.641545796
23,0.000485322,99786.17015,68.17095454,0.00196731,99129.3964,54.07798556,0.039491614,82044.96793,21.01468208,0.115893399,58270.64896,6.40940871
24,0.000504784,99737.7417,67.20381271,0.002049831,98934.3781,53.18359787,0.039691723,78804.8797,20.8581499,0.120853243,51517.46537,6.18404546
25,0.000523884,99687.39563,66.23750076,0.002137206,98731.57934,52.29181216,0.039870497,75676.97824,20.69959849,0.126018972,45291.41261,5.965411394
26,0.000542299,99635.17097,65.27195766,0.002229991,98520.56958,51.40273903,0.040023021,72659.69949,20.53841037,0.13139712,39583.83537,5.753466857
27,0.000559794,99581.1389,64.3071025,0.002328795,98300.86957,50.51650539,0.040145804,69751.63881,20.3738447,0.136993624,34382.63341,5.548180332
28,0.000576606,99525.394,63.34284132,0.002434257,98071.94696,49.63325548,0.040241386,66951.40317,20.20506624,0.142811771,29672.43185,5.349528432
29,0.000593147,99468.00707,62.37909778,0.002547075,97833.21467,48.75315029,0.040313918,64257.18593,20.03127312,0.148853642,25434.85931,5.157483697
30,0.000609892,99409.0079,61.41582298,0.002668033,97584.02611,47.87636854,0.040367652,61666.72701,19.85173114,0.155120607,21648.78786,4.972012722
31,0.000627373,99348.37919,60.4529977,0.002798005,97323.66871,47.0031084,0.040406914,59177.38607,19.66577616,0.161613237,18290.61475,4.79307823
32,0.000646192,99286.05065,59.49063423,0.002937972,97051.35663,46.1335894,0.040436095,56786.21049,19.47281603,0.168331225,15334.60929,4.620641715
33,0.000667019,99221.89282,58.52877814,0.003089038,96766.22248,45.26805466,0.040459629,54489.99789,19.27233192,0.175273299,12753.31572,4.454666857
34,0.000690616,99155.70992,57.56751028,0.003252446,96467.30798,44.40677337,0.040481996,52285.35278,19.06387922,0.182437134,10518,4.295124072
35,0.00071773,99087.23135,56.60694928,0.003429445,96153.55325,43.55004377,0.040508302,50168.73734,18.84708795,0.189817889,8599.126226,4.141996632
36,0.000748697,99016.1135,55.64724783,0.003620761,95823.79997,42.69818957,0.040546025,48136.48698,18.62167452,0.197403526,6966.858238,3.995281472
37,0.000783772,98941.98048,54.68856732,0.003826964,95476.84484,41.85153437,0.040603247,46184.74376,18.38748705,0.205178004,5591.57586,3.854967389
38,0.000823249,98864.43249,53.73107213,0.004048586,95111.45837,41.01039316,0.040688184,44309.49321,18.14451489,0.213122376,4444.307485,3.721029873
39,0.000867454,98783.04247,52.77493065,0.004286107,94726.39143,40.17506969,0.040809365,42506.62041,17.8928881,0.221214621,3497.126115,3.593431779
40,0.000916755,98697.35267,51.82031615,0.004539933,94320.38395,39.34585329,0.040975862,40771.95222,17.63287939,0.229429508,2723.510686,3.472123595
41,0.000971552,98606.8714,50.86740746,0.004810372,93892.1757,38.52301518,0.041197567,39101.28632,17.36490946,0.237738476,2098.65697,3.357043094
42,0.001032287,98511.06966,49.91638963,0.005097606,93440.51942,37.70680411,0.041485544,37490.40844,17.0895564,0.246109557,1599.72546,3.248114007
43,0.001099338,98409.37793,48.96745426,0.005401607,92964.19644,36.89744155,0.04185097,35935.09846,16.80757037,0.254508332,1206.017736,3.145243194
44,0.001172666,98301.19281,48.02079499,0.005721892,92462.04035,36.09511398,0.042300584,34431.17974,16.51986836,0.262901178,899.0761728,3.048320269
45,0.001252009,98185.9183,47.07658645,0.006057606,91932.98254,35.29995747,0.042840192,32974.72074,16.22744923,0.271252645,662.7079877,2.957230148
46,0.001336921,98062.98862,46.13497387,0.006407529,91376.08877,34.51204665,0.04347575,31562.07738,15.93137237,0.279524568,482.9466931,2.871854638
47,0.001426737,97931.88615,45.1960659,0.006770029,90790.59385,33.73138524,0.044213126,30189.89239,15.63275604,0.287676173,347.9512272,2.792068728
48,0.001520535,97792.16309,44.25992655,0.007143023,90175.93887,32.95789617,0.045057902,28855.10286,15.33277241,0.295664231,247.8539496,2.717734186
49,0.001617102,97643.46667,43.32656639,0.007523943,89531.81003,32.19141169,0.046015213,27554.95246,15.03264061,0.303443266,174.572402,2.648688857
50,0.001714912,97485.56718,42.39593351,0.007909713,88858.17778,31.43166372,0.047089625,26287.00546,14.73361882,0.310965813,121.5995823,2.584729142
51,0.001812421,97318.38797,41.46790479,0.008297367,88155.33513,30.67827491,0.048281555,25049.16024,14.43699638,0.318190509,83.7862693,2.525581577
52,0.001909129,97142.00604,40.54229071,0.008686169,87423.87798,29.93077017,0.04957596,23839.74783,14.14403306,0.325107127,57.12627362,2.470890848
53,0.002004889,96956.54941,39.61888284,0.009076169,86664.49937,29.18865082,0.050951188,22657.86945,13.85573227,0.331715876,38.55411493,2.420301765
54,0.002099634,96762.16233,38.6974694,0.009467643,85877.91777,28.45141878,0.052381976,21503.42408,13.57275591,0.338019924,25.76510294,2.373481046
55,0.002193381,96558.99722,37.77783884,0.009861112,85064.8563,27.71858224,0.053839381,20377.03224,13.29538545,0.344025311,17.0559848,2.330116969
56,0.002286235,96347.20658,36.85978307,0.010257344,84226.02222,26.98966087,0.055291037,19279.94543,13.02348132,0.34974084,11.18829433,2.289920098
57,0.002378406,96126.93418,35.94310058,0.010657365,83362.08692,26.26419038,0.056701788,18213.93725,12.75644385,0.355177965,7.275290876,2.252625733
58,0.002470226,95898.30526,35.02759965,0.011062466,82473.66671,25.54172657,0.058034773,17181.17445,12.49318041,0.360350675,4.691267868,2.217999135
59,0.002562292,95661.4148,34.11310183,0.011474266,81561.30459,24.82184866,0.059261412,16184.06889,12.23208401,0.365272091,3.000766327,2.1858453
60,0.002655838,95416.30233,33.19944965,0.011894904,80625.4485,24.10416337,0.060389143,15224.97812,11.97114146,0.369944199,1.904670136,2.156012563
61,0.002752383,95162.8921,32.28652535,0.0123269,79666.41649,23.38831256,0.061437282,14305.55474,11.70839603,0.374367017,1.200048468,2.12835857
62,0.002853593,94900.96739,31.3742555,0.012773109,78684.37655,22.67397584,0.062427297,13426.66034,11.4420853,0.378541726,0.750789902,2.102737731
63,0.002961276,94630.15864,30.46261019,0.013236746,77679.33242,21.960871,0.063381418,12588.47022,11.1706526,0.382470612,0.466584597,2.078994919
64,0.003077399,94349.9326,29.55160129,0.013721409,76651.11081,21.24875374,0.064321519,11790.59513,10.89274065,0.386157008,0.288129701,2.0569551
65,0.003204134,94059.58021,28.64128064,0.014231113,75599.34959,20.53741673,0.06526832,11032.20614,10.60717075,0.389605252,0.176866397,2.036406086
66,0.00334394,93758.20075,27.7317389,0.014770343,74523.48671,19.82668812,0.066240912,10312.15258,10.3129113,0.392820642,0.10795832,2.017069635
67,0.003499635,93444.67897,26.82310572,0.015345497,73422.74928,19.11642951,0.067263165,9629.06619,10.00903967,0.395823369,0.065550064,1.998552715
68,0.003674365,93117.65672,25.9155505,0.015969587,72296.04072,18.40656006,0.068384929,8981.384721,9.694772326,0.398691159,0.039603817,1.980322209
69,0.003871861,92775.50843,25.00928092,0.016659097,71141.50278,17.69716122,0.06966552,8367.193361,9.369711876,0.401518562,0.023814125,1.961833434
70,0.004096586,92416.29453,24.10454631,0.017433185,69956.34962,16.98850389,0.071168775,7784.288486,9.033895674,0.404402959,0.014252312,1.942571048
71,0.004353869,92037.70323,23.20164212,0.018314373,68736.78766,16.28105105,0.07296493,7230.290209,8.687778625,0.407444556,0.008488635,1.922058791
72,0.004650084,91636.98316,22.30091431,0.019329476,67477.9165,15.57546308,0.075133218,6702.732594,8.332221009,0.410746612,0.005029987,1.899874652
73,0.004992893,91210.86352,21.40276399,0.020510859,66173.60371,14.87260753,0.077765406,6199.134722,7.968485585,0.414415952,0.002963937,1.875675184
74,0.005391566,90755.45742,20.50765296,0.021898124,64816.32624,14.17357517,0.080970517,5717.056496,7.59824922,0.418563751,0.001735634,1.8492361
75,0.005857028,90266.14336,19.6161103,0.023535795,63396.97029,13.47970447,0.08486345,5254.143474,7.223636026,0.423284581,0.001009161,1.820522848
76,0.006401056,89737.452,18.72873354,0.025459585,61904.8722,12.79255532,0.08951204,4808.25873,6.847139646,0.428589447,0.000581998,1.789730438
77,0.007037586,89163.03757,17.84616839,0.027707134,60328.79985,12.11369476,0.094981362,4377.861682,6.471140668,0.43446867,0.00033256,1.75709944
78,0.007783621,88535.54507,16.96910873,0.030322643,58657.26174,11.44464668,0.101349733,3962.046417,6.097809611,0.440913153,0.000188073,1.722864365
79,0.008659955,87846.41791,16.09830364,0.033357593,56878.61855,10.78689517,0.108708516,3560.494069,5.729130306,0.447914101,0.000105149,1.687252969
80,0.009692082,87085.67186,15.23456427,0.036871521,54981.28477,10.14188276,0.117161862,3173.438044,5.366913797,0.455462762,5.81E-05,1.65048595
81,0.010911364,86241.63036,14.37877054,0.040932848,52954.04117,9.511003689,0.126826286,2801.632134,5.012804201,0.46355019,3.16E-05,1.612777363
82,0.012356507,85300.61654,13.53187746,0.045619723,50786.48144,8.895592033,0.13782996,2446.311535,4.668277664,0.472167035,1.70E-05,1.57433639
83,0.014073771,84246.59885,12.69492059,0.051020772,48469.61622,8.296904374,0.150312416,2109.136515,4.334635244,0.481301495,8.95E-06,1.535371912
84,0.01611235,83060.93149,11.86899905,0.057235563,45996.65899,7.71609593,0.164426984,1792.107109,4.012994326,0.490933254,4.64E-06,1.49609581
85,0.018527821,81722.6247,11.05518016,0.064375378,43364.01434,7.154187667,0.180339729,1497.436342,3.704293651,0.501038256,2.36E-06,1.45670964
86,0.021384059,80208.48254,10.25443643,0.072563648,40572.43953,6.612027098,0.198227571,1227.389078,3.40929482,0.51159008,1.18E-06,1.417400787
87,0.024753656,78493.29964,9.46758383,0.081935978,37628.35533,6.090238869,0.218276107,984.0867224,3.128579276,0.522559516,5.76E-07,1.378341839
88,0.028718044,76550.30352,8.695198611,0.092639725,34545.23925,5.589160159,0.240676529,769.2841038,2.862541812,0.533914163,2.75E-07,1.339688647
