Age,CCI0,SxFict_FCCI0,EV_CCI0,CCI1,SxFict_FCCI1,EV_CCI1,CCI2,SxFict_FCCI2,EV_CCI2,CCI3,SxFict_FCCI3,EV_CCI3
18,0.000139749,1.00E+05,75.56601213,0.000440156,1.00E+05,64.96707994,0.007629506,1.00E+05,38.11132853,0.119042524,1.00E+05,6.960527059
19,0.000141738,99986.0251,74.576504,0.000475705,99955.9844,63.99546801,0.007927645,99237.04939,37.40049056,0.121375566,88095.74764,6.833528838
20,0.000143923,99971.85328,73.58700494,0.000514135,99908.43479,63.02568753,0.008237568,98450.33328,36.69536219,0.123754477,77403.07643,6.708459715
21,0.000146332,99957.46504,72.59752535,0.000555661,99857.06839,62.05785069,0.008559725,97639.34194,35.99600048,0.126180161,67824.09921,6.585296928
22,0.000148993,99942.83809,71.60807705,0.000600513,99801.58175,61.09207499,0.008894581,96803.57599,35.3024597,0.128653541,59266.04345,6.464017818
23,0.000151938,99927.9473,70.61867324,0.000648937,99741.64957,60.12848319,0.009242616,95942.54876,34.61479105,0.131175558,51641.25709,6.344599823
24,0.000155198,99912.76447,69.62932854,0.000701189,99676.92355,59.16720343,0.009604327,95055.78864,33.93304243,0.13374717,44867.18639,6.227020487
25,0.00015881,99897.25816,68.64005897,0.000757544,99607.03115,58.20836912,0.009980229,94142.84172,33.25725819,0.136369357,38866.32716,6.111257467
26,0.000162809,99881.3935,67.65088199,0.000818288,99531.57443,57.2521189,0.010370853,93203.27456,32.58747883,0.139043116,33566.1511,5.997288528
27,0.000167239,99865.13193,66.66181652,0.000883704,99450.1289,56.29859653,0.01077677,92236.67709,31.92374068,0.141769465,28899.00885,5.885091557
28,0.000172162,99848.43057,65.67288322,0.000953988,99362.24446,55.34794957,0.011198666,91242.66365,31.26607637,0.14454944,24802.01183,5.774644557
29,0.000177642,99831.24046,64.68410545,0.001029293,99267.45411,54.40032379,0.011637289,90220.86754,30.61451746,0.1473841,21216.89491,5.665925658
30,0.000183742,99813.50626,63.69550926,0.001109737,99165.27886,53.45586016,0.012093429,89170.94121,29.96909513,0.150274523,18089.86195,5.558913113
31,0.000190528,99795.16629,62.70712309,0.001195397,99055.23149,52.51469252,0.012567919,88092.5588,29.32984017,0.153221811,15371.41657,5.453585308
32,0.000198062,99776.15254,61.71897753,0.001286297,98936.82121,51.57694512,0.013061641,86985.41869,28.69678297,0.156227084,13016.18029,5.34992076
33,0.00020641,99756.39068,60.73110508,0.001382405,98809.55906,50.64272987,0.013575527,85849.2464,28.06995343,0.159291487,10982.7004,5.247898121
34,0.000215641,99735.79991,59.74353998,0.00148362,98672.96421,49.7121434,0.014110564,84683.79763,27.44938101,0.162416186,9233.249726,5.147496184
35,0.00022582,99714.29282,58.75631805,0.001589817,98526.57104,48.78526399,0.014667792,83488.86152,26.8350946,0.165602372,7733.62052,5.048693882
